Season,Episode,Character,cleanline
10,2,Stan,wheres the goingaway party
10,2,Butters,at cartmans house
10,2,Cartman,hey everybody theres more pop in the refrigerator lets make this the best goingaway party ever 
10,2,Cartman,who 
10,2,Cartman,kyle why would i invite kyle
10,2,Stan,kyle kyle
10,2,Stan,what
10,2,Cartman,you guys this is our party that nogood backstabbing jew rat is finally leaving come on everyone lets sing nanana na nanana na hey hey hey goodbye kyle
10,2,Stan,kyle duwhat is going on
10,2,Kyle,my dad says he cant live here anymore
10,2,Stan,mr broflovski please kyles my best friend
10,2,Stan,well maybe theyll change
10,2,Stan,nooo
10,2,Stan,i will i will get everyone to drive hybrid cars i swear it
10,2,Stan,come on people come on people now 
10,2,Cartman,dude what are you doing
10,2,Stan,im writing a song about the importance of hybrid cars so maybe people will change their ways
10,2,Cartman,thats gay heh
10,2,Stan,well if i have any chance of getting kyle back i have to get people to stop driving suvs
10,2,Cartman,why do you want kyle back dont you see how awesome it is without him
10,2,Stan,you know cartman you may be stoked now but i bet youre gonna find that withuot kyle around to rip on your life is empty and hollow
10,2,Cartman,psh whatever dude i dont need kyle to rip on ive got butters come on butters you stupid jew 
10,2,Butters,yeah im a dumb jew 
10,2,Stan,come on people come on people now
10,2,Stan,come on now people now people nowpeople now come on now people nowgot to drive hybrids people nowpeople now people now people nowhybrids are for people now people nowgroup of people driving people nowget a hybrid be good people now
10,2,Stan,we have all got to be people nowpeopledrivinghybrid people nowpeople now people now hybrid nowhybridpeopledriving people nowcome on people lets be people nowhybridpeopledriving people nowcome on everybody be people now
10,2,Randy,i know its like earth to america hello this is simple stuff here gawl
10,2,Mr. Mackey,well from now on im only going to associate with other hybridcar drivers everyone else is just ignorant mkay
10,2,Randy,at least were smart enough to know better
10,2,Stan,come on everybody be people now
10,2,Stan,ah thanks i was really just trying to make it so my friend can move back here so if you dont mind im gonna try to get a hold of him now 
10,2,Stan,yeah
10,2,Stan,ow
10,2,Stan,what
10,2,Stan,smog theres never been smog over south park before
10,2,Stan,smug
10,2,Kyle,so what do you do for fun
10,2,Kyle,oh no thanks we dont do that stuff
10,2,Kyle,yeah fine dad
10,2,Kyle,well maybe ill take just half a hit of acid
10,2,Stan,no no im asking if theres a listing for broflovski in san francisco they just moved there
10,2,Cartman,haha take that jew boy i guess you heebs cant even play video football
10,2,Butters,yeah youre right 
10,2,Cartman,you know butters you make for a lousy jew
10,2,Butters,well im sorry well its just that im not jewish and now th
10,2,Cartman,no no dont apologize you asshole
10,2,Stan,oh crap ranger mcfriendly
10,2,Cartman,who
10,2,Cartman,the smug
10,2,Stan,what is that
10,2,Stan,george clooneys acceptance speech
10,2,Stan,what about san francisco
10,2,Randy,are you trying to tell us the smug from our hybrids is actually gonna kill us all
10,2,Randy,yeah good going stupid
10,2,Randy,hey where do you think youre going
10,2,Stan,im gonna try and warn kyle to get out of san francisco
10,2,Randy,oh no youre not your gay little song got us to drive hybrids youre gonna help us get rid of em
10,2,Butters,wow eric you sure are a great guy for doing this
10,2,Cartman,i dont have a choice somebody has to get into san francisco and warn kyles family to get out before the storm hits
10,2,Butters,but how come we cant just take the bus on into the city
10,2,Cartman,you dont know san francisco butters  it was the breeding ground for the hippie movement in the 60s those hardcore liberals lesbian activists and die hard modern hippies young and old  i swore i would never set foot in san francisco god help me  all right butters ill be tethered to you through this cord its my only lifeline so make sure it stays taut if you stop hearing my voice for the love of christ start reeling me in with all your strength
10,2,Butters,i will youre really great for going to warn kyle eric
10,2,Cartman,im not doin it for kyle  i cant believe im actually going to walk through san francisco well here it goes 
10,2,Stan,cant somebody else operate this i cant really reach
10,2,Cartman,butters are you there
10,2,Butters,im here eric
10,2,Cartman,ive started to enter the smug im about a quarter mile in can you give me an el
10,2,Butters,you must be nearing union square did you see a fountain to your left
10,2,Cartman,yes its just beyond yet another wine and cheese store
10,2,Butters,wait uhh eh take your next right youve got to start heading west
10,2,Cartman,turning right at o two four niner 
10,2,Randy,thats it thats that the last one
10,2,Cartman,butters butters i think im here 2419 castillo
10,2,Butters,thats it eric hurry somethins goin on out here
10,2,Cartman,mr broflovski mr broflovski there a smug storm we have to go
10,2,Cartman,oh my christ  kyle kyle
10,2,Kyle,the acid dude im totally tripping balls
10,2,Cartman,we have to get out of here now  kyle kyle 
10,2,Stan,no
10,2,Randy,im sorry stan im sorry your gay little song killed your friend
10,2,Stan,what
10,2,Stan,kyle
10,2,Kyle,hey stan
10,2,Stan,dude what happened 
10,2,Mr. Mackey,its like you had a guardian angel mkay 
10,2,Stan,dude im so glad youre not dead
10,2,Randy,yeah first off were all gonna need new cars
10,2,Kyle,no hybrid cars are a good thing
10,2,Mr. Mackey,but hybrid cars are the leading cause of smug mkay
10,2,Kyle,hybrid cars dont cause smugness people do  look hybrid cars are important they may even save our planet one day what you all need to do is just learn to drive hybrids and not be smug about it
10,2,Randy,you mean drive in hybrids but not act like were better than everyone else because of it
10,2,Kyle,yeah
10,2,Randy,im  im not ready
10,2,Mr. Mackey,its simply asking too much
10,2,Randy,perhaps one day we can learn to drive hybrids without being smug about it but for now the technology is just too much for us
10,2,Cartman,well looks like youre back for good huh kyle
10,2,Kyle,yeah i guess so
10,2,Cartman,we just cant get rid of you can we you sneaky jew rat
10,2,Kyle,dont belittle my people you fucking fatass 
10,2,Cartman,ah thats better 
10,3,Sharon,but the bubble gum prince wasnt afraid he knew that the land of chocolate was safe forever and ever  goodnight my little angel 
10,3,Randy,staaan
10,3,Stan,what what
10,3,Randy,get up get your shoes on gotta get out of here moove  take this  weve gotta bring all the water we can  shelly go get my gun
10,3,Randy,just get the gun 
10,3,Randy,unh come on 
10,3,Stan,kyle what the hell is going on this time
10,3,Kyle,i have no idea
10,3,Stan,dad  dad what the hell is going on 
10,3,Randy,a cartoon a cartoon is about to air on american television with with the muslim prophet mohammad as a character 
10,3,Stan,sso
10,3,Randy,so stanley mohammad is sacred to the muslim people  ever since those cartoon in denmark the rules have changed nobody shows an image of mohammad anymore
10,3,Randy,who do you think the cartoon thats always pushing buttons with their careless toilet humor family guy
10,3,Randy,because family guy doesnt care who they insult they only care about their precious money
10,3,Stan,oh come on people you really think anybodys gonna be that pissed off about a cartoon
10,3,Mr. Mackey,wuweve got the tv working 
10,3,Sharon,oh randy hold me 
10,3,Randy,we stay here through the night wait it out to see if they do anything if were still alive in the morning  then well know were not dead
10,3,Randy,were alive were alive 
10,3,Randy,well it looks like weve dodged a bullet
10,3,Stan,they censored the image of mohammad how
10,3,Kyle,i tivo every episode we can go to my house and see what they did
10,3,Kyle,okay you guys check it out 
10,3,Cartman,you tivo every episode of family guy
10,3,Kyle,dude its a good show
10,3,Stan,yeah lots of people like family guy
10,3,Cartman,yich 
10,3,Kyle,hehaha heh
10,3,Cartman,yich
10,3,Kyle,thats it thats all they did
10,3,Cartman,oh man thats not cool seriously that is not cool
10,3,Stan,what whats the big deal
10,3,Cartman,whats the big deal you guys they just made fun of the religion of an entire group of people  what you guys think thats okay do you care at all about peoples feelings
10,3,Kyle,since when you care about being sensitive to peoples religion cartman
10,3,Stan,yeah you rip on peoples religion all the time
10,3,Cartman,thats different im just a little boy thats a cartoon millions of people watch it how would you feel kyle if there was a cartoon on television that made fun of jews all the time huh
10,3,Kyle,uhhh
10,3,Cartman,im telling you guys its wrong its wrong  its wrong 
10,3,Kyle,dad dad jesus christ
10,3,Kyle,mom it was nothing mohammad just stood there and then drank some tea
10,3,Kyle,no muslims cant show an image of mohammad
10,3,Cartman,yeah kyle maybe you think this is funny but the rest of us dont
10,3,Cartman,mrs garrison that is ignorant and racist muslims are mad because of family guy not because they cant jack off right wendy
10,3,Mr. Mackey,attention students proceed to the school gymnasium immediately for an emergency announcement
10,3,Stan,the hells going on now
10,3,Cartman,what
10,3,Randy,family guy  i damn you to hell
10,3,Mr. Mackey,retaliation oh my god mkay
10,3,Cartman,goddamned family guy now theyre just provoking people its like they want a holy war
10,3,Stan,does this mean we dont have school all week
10,3,Cartman,you guys this is serious we have to do something
10,3,Kenny,like what
10,3,Cartman,we have to go to the fox network in la we have to go and try to get that episode pulled you guys with me
10,3,Stan,dude we cant go anywhere theyve shut down the airports and the buses
10,3,Cartman,then well ride our big wheels
10,3,Stan,to los angeles
10,3,Cartman,if thats what it takes yes we have to talk to the network the family guy writers arent gonna back down
10,3,Kyle,well good for them they shouldnt the writers are standing up and saying they arent going to be intimidated
10,3,Cartman,intimidated is that what you think this is about kyle
10,3,Kyle,all right dude what the hell has gotten into you i dont trust for one second that your sudden concern for the muslim people is real
10,3,Cartman,all right fine kyle forget the muslim faith for a minute people can get hurt if ten people die because family guy just had to have their little joke will you still think its funny  what if a hundred people died will it be funny then kyle  im going to los angeles im gonna do whatever i can to get that episode pulled before this gets out of hand somebody has to speak for the muslim people somebody has to speak for whats right 
10,3,Kyle,dad are you sure theres time
10,3,Kyle,no
10,3,Kyle,ike iiike  ike 
10,3,Kyle,ike  this way  iiike 
10,3,Kyle,nooooo 
10,3,Cartman,come to try and stop me  it isnt gonna work 
10,3,Kyle,i didnt come to stop you i i think youre right cartman i want to help you get the family guy episode pulled
10,3,Cartman,yeah well i dont need a partner on this  especially one who doesnt trust me 
10,3,Kyle,look cartman i dont know whats gotten into you but i i think its pretty amazing and i think its real you have to understand why i didnt believe you before
10,3,Cartman,yeah i do understand kyle ive been doing the wrong things for a long time doing things for my own selfish reasons i just wanna do something right you know just this one time
10,3,Kyle,its a long trip dude youre gonna need help we can try and get the episode pulled together
10,3,Cartman,you know we might not even make it into the studio
10,3,Kyle,i know but just like you i feel like i have to try people can really get hurt and a joke just isnt worth that
10,3,Cartman,so what made you change your mind
10,3,Kyle,i got some sound advice from an old friend 
10,3,Cartman,well kyle wed better get going
10,3,Kyle,yeah 
10,3,Cartman,are you set
10,3,Kyle,im set lets do this
10,3,Cartman,all right lets roll 
10,3,Randy,well what are we gonna do mayor part 2 of the family guy episode airs in six days
10,3,Randy,i like the sand idea
10,3,Mr. Mackey,yeah me too
10,3,Kyle,we got six days to make it to los angeles if we keep our stops to a minimum we should be able to get the episode pulled just in time
10,3,Cartman,yes and in just a few weeks from now family guy will be off the air forever
10,3,Kyle,off the air but were just going to try to get the mohammad episode pulled
10,3,Cartman,its simple television economics kyle all it takes to kill a show forever is get one episode pulled if we convince the network to pull this episode for the sake of muslims then the catholics can demand a show they dont like get pulled and then people with disabilities can demand another show get pulled and so on and so on until family guy is no more its exactly what happened to laverne  shirley
10,3,Kyle,whoa whoa wait a minute  this isnt what i signed up for i like family guy why do we have to get it off the air forever
10,3,Cartman,because they made ffun of muslims and and thats wrong
10,3,Kyle,but that doesnt mean it has to go off the air you should like that show your sense of humor is just like family guy
10,3,Cartman,dont you ever ever compare me to family guy you hear me kyle compare me to family guy again and so help me i will kill you where you stand 
10,3,Kyle,you unbelievable son of a bitch you never cared about the muslim religion or the safety of people in america you just want family guy off the air
10,3,Cartman,do you have any idea what its like everywhere i go hey cartman you must like family guy right hey your sense of humor reminds me of family guy cartman  i am nothing like family guy when i make jokes they are inherent to a story deep situational and emotional jokes based on what is relevant and has a point not just one interchangeable joke after another
10,3,Kyle,what are you talking about
10,3,Cartman,you dont understand
10,3,Kyle,i cant believe i let you scare me into taking your side you used fear to make me stop believing in free speech
10,3,Cartman,well i guess you wont be helping me now no biggie i dont need you to get the episode pulled 
10,3,Kyle,no  i am not letting you go to that television studio and pretend to care about safety and sensitivity to get a show you dont like off the air
10,3,Cartman,well then kyle i guess we oh my god is that tim mcgraw
10,3,Kyle,what  cartman 
10,3,Cartman,kyle stop it
10,3,Cartman,holy crap 
10,3,Kyle,ahhh
10,3,Stan,dad i dont wanna bury my head in the sand
10,3,Randy,its the best say stanley did you eat your fruit rollup
10,3,Stan,yeah
10,3,Randy,all right make sure your snorkel is working  all right now get your head in the hole
10,3,Stan,dad this is stupid
10,3,Randy,stanley theres no time for your immaturity do it  all right sharon now do me 
10,3,Kyle,no  aaaah  aaaah 
10,3,Cartman,hahahaha so long kyle
10,3,Kyle,you son of a bitch i wont let you win you hear me
10,3,Cartman,suck mah balls kyle 
10,3,Cartman,this explains everything
10,3,Cartman,kyle quit it stop it kyle
10,4,Cartman,im gonna do whatever i can to get that episode pulled before this gets out of hand
10,4,Kyle,you just want family guy off the air
10,4,Cartman,kyle stop it
10,4,Cartman,so long kyle
10,4,Kyle,you son of a bitch i wont let you win
10,4,Cartman,maam i need to speak to the president of this network right away
10,4,Cartman,its regarding family guy i demand that the mohammad episode be pulled before it airs tonight its incendiary its offensive to muslims and people can get hurt its wrong its wrooong
10,4,Cartman,dude can i go before you
10,4,Kyle,what the hell is going on  hello  excuse me i need to get to los angeles  hello 
10,4,Kyle,who
10,4,Cartman,so you dont like family guy either huh
10,4,Cartman,so whats your plan youre gonna ask the president of the network nicely to take it off the air
10,4,Cartman,look kid if you hate a tv show all you have to do is get an episode pulled pretty soon the show is compromised and it goes off the air
10,4,Cartman,yes so my plan is to use this whole mohammad thing as a way to scare the network into pulling tonights show im going to use fear to get them to do what i want
10,4,Cartman,no it isnt like terrorism it is terrorism
10,4,Cartman,this is manipulation at its highest lever you should let me handle this
10,4,Cartman,really whats the worst thing youve ever done
10,4,Cartman,wow thats pretty hardcore geez thats like this one time when i didnt like a kid so i ground his parents up into chili and fed it to him
10,4,Cartman,seeya
10,4,Cartman,hello gentlemen ladies my name is little danny pocket and i wont take much of your time please excuse my tiny crutch its the only way i can get around these days ow
10,4,Cartman,you see my father worked for a newspaper in my native country of denmark his newspaper showed an image of mohammad and two days later terrorists suicides bombed his building i was in the lobby when it happened  first one terrorist suicide bombed us and then dozens more they just kept coming suicide bombers running in the building and blowing up one after another they were like mexican jumping beans i just dont wanna see people here at your studio getting hurt because that would be of course your responsibility  ow
10,4,Cartman,ill certainly do my best  ow
10,4,Cartman,yes and then family guy is as good as dead
10,4,Cartman,i i said thank you thank you for listening 
10,4,Kyle,thanks a lot for the ride
10,4,Kyle,ill do everything i can
10,4,Kyle,excuse me  do you know which way the network presidents office is
10,4,Kyle,look my fat bastard friend is trying to trick the network into getting family guy off the air
10,4,Kyle,oh thanks dude
10,4,Kyle,hello this cant be right i  ow
10,4,Cartman,it wont take long sir  ow
10,4,Cartman,yes im totally excited family guy is so funny
10,4,Cartman,wha  what are they
10,4,Cartman,family guy is written by manatees  of course it all makes sense now
10,4,Cartman,waitwaitaminute waitaminute these manatees demanded that mohammad be shown how manatees dont talk
10,4,Cartman,oh yes yes um  hello manatees i i think you should allow the network to pull your episode with mohammad see im the victim of a a terrorist attack and terrorists might come after you if you
10,4,Cartman,why not
10,4,Cartman,son of a bitch
10,4,Kyle,let me out of here kid why are you doing this
10,4,Cartman,well well well 
10,4,Kyle,cartman
10,4,Cartman,hello kyle looks like youve run into a little snag in your plan as well
10,4,Kyle,you fat sun of a bitch
10,4,Cartman,you came so close to stopping me didnt you kyle there was just one thing you didnt count on that more people besides me hate family guy
10,4,Kyle,well a lot of people like family guy too who are you to decide it shouldnt be on the air
10,4,Cartman,not yet but ive come up with a new plan ive learned how to make the family guy writing staff stop working as soon as everyone goes on their lunch break i can sneak back in
10,4,Kyle,cartman let me out of this stupid net
10,4,Cartman,good kyle thats good anger youre showin there see that thats emotional character development based on whats happening in the storyline not at all like family guy now if youll excuse me kyle  ive got some idea balls to remove from a manatee tank
10,4,Kyle,what
10,4,Cartman,sir sir  if you dont my saying i think you asked for this you gave in to the manatees last week now they know all they have to do is refuse to work and they can get whatever they want you spoiled them by caving in now they thnk they can walk all over you  sir you are in charge of this network not them maybe its time you showed them whos in charge
10,4,Cartman,i did it i am god
10,4,Cartman,family guy is going off the air no more family guy for me mon frère
10,4,Kyle,cartman  you fucking fatass
10,4,Cartman,how the hell did you get out
10,4,Kyle,that kid and i had a long talk i told him he was on a slippery slope to becoming a monster like you
10,4,Cartman,aw god damnit you gave him one of your gay little speeches didnt you
10,4,Kyle,you are not killing family guy
10,4,Cartman,youre too late kyle the president of the network is pulling the episode family guy is as good as dead
10,4,Kyle,theres still time to tell the network president youre full of crap 
10,4,Cartman,i cant let you do that
10,4,Kyle,get out of my way or ill kick your ass
10,4,Cartman,fine kyle i guess it was inevitable  let this be our final battle  ow ow stop it kyle thats too hard ah  ugh kyle stop it
10,4,Kyle,ow quit it
10,4,Cartman,ow quit it kyle bleh kyle 
10,4,Cartman,stop it
10,4,Kyle,ow quit it
10,4,Cartman,ow quit it kyle leh kyle let go okay okay come on time out kyle time out time out time out  time in  i dow uh ah shgah okay okay time out kyle ttime out time out time out time out time out
10,4,Kyle,no more timeouts fatass
10,4,Cartman,time out time out time out kyle ay ay
10,4,Cartman,kyle kyle get the get the kyle kyle dude that was that was in the balls dude serious seriously that was in the balls no hitting no hitting in the balls  kyle  quit it kyle give it up kyle  okay okay okay okay  you win you win i give up  hahaha i had my fingers crossed 
10,4,Kyle,thanks kid
10,4,Kyle,sir mister television executive stop
10,4,Kyle,listen to me the little boy who convinced you to pull the episode is a bastard child he only wants you to pull it because he knows it will be the end of family guy forever
10,4,Kyle,pulling an episode because someone is offended starts a chain reaction youll have to pull more and more episodes until the show goes off the air completely its what happened to laverne  shirley
10,4,Kyle,what manatees 
10,4,Cartman,go ahead mr president continue what you were doing
10,4,Kyle,no you have to show mohammad mr president
10,4,Kyle,sir just think about what youre doing to free speech
10,4,Cartman,no think about the people who could get hurt
10,4,Cartman,okay ill make it easy for you  pull the mohammad episode now
10,4,Kyle,noo wait you cant listen to him hes a lying deceitful monster who only wants family guy off the air
10,4,Kyle,you cant do what he wants just because hes the one threatening you with violence
10,4,Cartman,shut up kyle
10,4,Kyle,yes people can get hurt thats how terrorism works but if you give into that doug youre allowing terrorism to work do the right thing here
10,4,Cartman,give the orders to pull the episode mr president
10,4,Kyle,do the right thing mr president
10,4,Kyle,i wish that was good enough but if you censor out mohammad then soon youll have to censor out more
10,4,Cartman,no gay speeches kyle
10,4,Kyle,if you dont show mohammad then youve made a distinction what is okay to poke fun at and what isnt either its all okay or none of it is
10,4,Kyle,do the right thing show mohammad  do the right thing
10,4,Kyle,yes 
10,4,Cartman,no no i hate family guy 
10,6,Mr. Mackey,mkay students we have a very special guest speaker today who can tell me the name of our countrys last vicepresident
10,6,Kyle,dick cheney
10,6,Mr. Mackey,no the last one
10,6,Butters,bill clinton
10,6,Mr. Mackey,no clintons vicepresident  he is here today to talk to you students about some very serious issues please welcome al gore 
10,6,Stan,who
10,6,Kyle,manbearpig 
10,6,Mr. Mackey,uhhh ohhhkay thank you mr gore
10,6,Cartman,check out this sweet move  kyle you cant block like that
10,6,Kyle,just play the game fatass
10,6,Stan,pass it to me cartman
10,6,Cartman,hang on im going to do something killer  god damnit stop it kyle
10,6,Cartman,all right check it out this is a total kobe bryant im about to do 
10,6,Kyle,just take a shot or pass the ball asshole its getting late
10,6,Cartman,lets just see who gets the ball this time jewboy  kyle knock it off 
10,6,Stan,cartman stop hogging the goddamned ball
10,6,Kyle,we know 
10,6,Cartman,dude what are you doing
10,6,Randy,uhh stan
10,6,Stan,oh hey dad
10,6,Randy,its ah getting late boys why dont you get in the car and ill drive you all home
10,6,Kyle,okay mr marsh 
10,6,Randy,boys i dont want you hanging out with that ex vicepresident anymore okay
10,6,Stan,aw hes all right dad he was just trying to warn us about manbearpig
10,6,Randy,manbearpig
10,6,Kyle,hes half man and half bearpig
